,Year,Value,LOCATION,Series ID
0,1972,90.9,GBR,Men
1,1973,91.6,GBR,Men
2,1974,91.2,GBR,Men
3,1975,90.5,GBR,Men
4,1976,89.2,GBR,Men
5,1977,88.4,GBR,Men
6,1978,87.7,GBR,Men
7,1979,87.4,GBR,Men
8,1980,86.4,GBR,Men
9,1981,83.0,GBR,Men
10,1982,80.0,GBR,Men
11,1983,77.9,GBR,Men
12,1984,77.9,GBR,Men
13,1985,78.3,GBR,Men
14,1986,78.0,GBR,Men
15,1987,77.9,GBR,Men
16,1988,80.0,GBR,Men
17,1989,81.7,GBR,Men
18,1990,82.5,GBR,Men
19,1991,80.8,GBR,Men
20,1992,77.2,GBR,Men
21,1993,75.2,GBR,Men
22,1994,75.4,GBR,Men
23,1995,76.0,GBR,Men
24,1996,76.5,GBR,Men
25,1997,77.4,GBR,Men
26,1998,78.4,GBR,Men
27,1999,78.6,GBR,Men
28,2000,78.9,GBR,Men
29,2001,79.3,GBR,Men
30,2002,79.0,GBR,Men
31,2003,79.1,GBR,Men
32,2004,79.4,GBR,Men
33,2005,79.4,GBR,Men
34,2006,78.9,GBR,Men
35,2007,78.8,GBR,Men
36,2008,79.1,GBR,Men
37,2009,77.6,GBR,Men
38,2010,75.0,GBR,Men
39,2011,75.8,GBR,Men
40,2012,75.5,GBR,Men
41,2013,76.0,GBR,Men
42,2014,77.3,GBR,Men
43,2015,78.3,GBR,Men
44,2016,79.2,GBR,Men
45,2017,79.3,GBR,Men
46,2018,79.8,GBR,Men
47,2019,80.5,GBR,Men
48,2020,80.5,GBR,Men
49,2021,77.7,GBR,Men
50,2022,78.8,GBR,Men
0,1972,52.8,GBR,Women
1,1973,54.0,GBR,Women
2,1974,55.1,GBR,Women
3,1975,55.7,GBR,Women
4,1976,55.4,GBR,Women
5,1977,55.4,GBR,Women
6,1978,55.6,GBR,Women
7,1979,56.3,GBR,Women
8,1980,56.9,GBR,Women
9,1981,56.1,GBR,Women
10,1982,55.1,GBR,Women
11,1983,53.9,GBR,Women
12,1984,55.1,GBR,Women
13,1985,56.2,GBR,Women
14,1986,57.2,GBR,Women
15,1987,58.2,GBR,Women
16,1988,60.2,GBR,Women
17,1989,62.2,GBR,Women
18,1990,63.2,GBR,Women
19,1991,63.1,GBR,Women
20,1992,61.9,GBR,Women
21,1993,61.6,GBR,Women
22,1994,61.9,GBR,Women
23,1995,62.3,GBR,Women
24,1996,63.4,GBR,Women
25,1997,64.0,GBR,Women
26,1998,64.3,GBR,Women
27,1999,65.2,GBR,Women
28,2000,65.5,GBR,Women
29,2001,66.1,GBR,Women
30,2002,66.1,GBR,Women
31,2003,66.3,GBR,Women
32,2004,66.8,GBR,Women
33,2005,67.1,GBR,Women
34,2006,66.8,GBR,Women
35,2007,66.4,GBR,Women
36,2008,67.0,GBR,Women
37,2009,66.3,GBR,Women
38,2010,65.7,GBR,Women
39,2011,65.5,GBR,Women
40,2012,65.2,GBR,Women
41,2013,66.4,GBR,Women
42,2014,67.5,GBR,Women
43,2015,68.7,GBR,Women
44,2016,69.2,GBR,Women
45,2017,70.0,GBR,Women
46,2018,71.0,GBR,Women
47,2019,71.8,GBR,Women
48,2020,72.7,GBR,Women
49,2021,71.7,GBR,Women
50,2022,72.1,GBR,Women
0,1984,75.5880165339641,GBR,15-24
1,1985,76.4006502802514,GBR,15-24
2,1986,77.4393995354126,GBR,15-24
3,1987,77.3588615528302,GBR,15-24
4,1988,77.7478084962913,GBR,15-24
5,1989,79.0749405538084,GBR,15-24
6,1990,78.0188455142925,GBR,15-24
7,1991,76.6338768360059,GBR,15-24
8,1992,72.6333426417202,GBR,15-24
9,1993,71.1426914153132,GBR,15-24
10,1994,70.1097579311382,GBR,15-24
11,1995,69.5913646877409,GBR,15-24
12,1996,70.5114083398898,GBR,15-24
13,1997,71.2465341219192,GBR,15-24
14,1998,70.2419728990174,GBR,15-24
15,1999,69.6992273540386,GBR,15-24
16,2000,69.5533556815501,GBR,15-24
17,2001,69.1418955112712,GBR,15-24
18,2002,68.8182603623384,GBR,15-24
19,2003,67.6977248847478,GBR,15-24
20,2004,67.8166568130287,GBR,15-24
21,2005,67.3668925658306,GBR,15-24
22,2006,67.0326241125447,GBR,15-24
23,2007,66.432348530721,GBR,15-24
24,2008,65.8068339038105,GBR,15-24
25,2009,64.4645096155926,GBR,15-24
26,2010,62.1344514002784,GBR,15-24
27,2011,62.62025632098,GBR,15-24
28,2012,62.413558797263,GBR,15-24
29,2013,62.0648937795371,GBR,15-24
30,2014,60.9862445347465,GBR,15-24
31,2015,62.4443383790734,GBR,15-24
32,2016,61.5697472462225,GBR,15-24
33,2017,61.394913394637,GBR,15-24
34,2018,60.7313802572824,GBR,15-24
35,2019,60.9973106914059,GBR,15-24
36,2020,60.452166869338,GBR,15-24
37,2021,58.631227944004,GBR,15-24
38,1984,52.3765779178612,GBR,55-64
39,1985,51.3662710460944,GBR,55-64
40,1986,50.8908285377426,GBR,55-64
41,1987,51.3029589778077,GBR,55-64
42,1988,51.6221828828215,GBR,55-64
43,1989,52.6333017486433,GBR,55-64
44,1990,53.0161206448258,GBR,55-64
45,1991,52.9809358752166,GBR,55-64
46,1992,51.9902659482009,GBR,55-64
47,1993,51.7289313640313,GBR,55-64
48,1994,52.1422376409367,GBR,55-64
49,1995,51.4042995839112,GBR,55-64
50,1996,51.374869474417,GBR,55-64
51,1997,51.9237361408915,GBR,55-64
52,1998,50.940011139616,GBR,55-64
53,1999,52.1922430449462,GBR,55-64
54,2000,53.0437437704044,GBR,55-64
55,2001,53.8946037256841,GBR,55-64
56,2002,55.2934261373026,GBR,55-64
57,2003,57.6384706729227,GBR,55-64
58,2004,57.6952613853166,GBR,55-64
59,2005,58.5029710546095,GBR,55-64
60,2006,59.2161007302264,GBR,55-64
61,2007,59.1466407105533,GBR,55-64
62,2008,59.4681304639562,GBR,55-64
63,2009,59.5158583790021,GBR,55-64
64,2010,59.5286837370589,GBR,55-64
65,2011,58.7416589801671,GBR,55-64
66,2012,60.2364129006073,GBR,55-64
67,2013,62.4237074503968,GBR,55-64
68,2014,63.2317889848006,GBR,55-64
69,2015,64.1580600426397,GBR,55-64
70,2016,65.1303791362372,GBR,55-64
71,2017,65.9415254875073,GBR,55-64
72,2018,67.2906010201206,GBR,55-64
73,2019,68.1348931947252,GBR,55-64
74,2020,67.9340831070051,GBR,55-64
75,2021,67.0596992394606,GBR,55-64
76,1984,5.33487204128977,GBR,Older than 65
77,1985,5.22781271514753,GBR,Older than 65
78,1986,4.84134286942438,GBR,Older than 65
79,1987,4.79488991988743,GBR,Older than 65
80,1988,4.96689259850953,GBR,Older than 65
81,1989,5.74719341769858,GBR,Older than 65
82,1990,5.58103825166502,GBR,Older than 65
83,1991,5.39501281752505,GBR,Older than 65
84,1992,5.82580495714617,GBR,Older than 65
85,1993,5.15452029520295,GBR,Older than 65
86,1994,5.06037952846464,GBR,Older than 65
87,1995,5.26677352873826,GBR,Older than 65
88,1996,4.93841240875912,GBR,Older than 65
89,1997,5.1266785771017,GBR,Older than 65
90,1998,5.24253114180282,GBR,Older than 65
91,1999,5.33866041393269,GBR,Older than 65
92,2000,5.27499876187551,GBR,Older than 65
93,2001,4.97391195897208,GBR,Older than 65
94,2002,5.45673384676789,GBR,Older than 65
95,2003,5.83649849082907,GBR,Older than 65
96,2004,6.16940790662622,GBR,Older than 65
97,2005,6.25609639980521,GBR,Older than 65
98,2006,6.75195632329086,GBR,Older than 65
99,2007,7.01736753462017,GBR,Older than 65
100,2008,7.38914692359834,GBR,Older than 65
101,2009,7.79126434289021,GBR,Older than 65
102,2010,8.30047254994018,GBR,Older than 65
103,2011,8.64510605638752,GBR,Older than 65
104,2012,9.05986464308242,GBR,Older than 65
105,2013,9.8411599397296,GBR,Older than 65
106,2014,10.2432803481017,GBR,Older than 65
107,2015,10.4884232763197,GBR,Older than 65
108,2016,10.5437932160996,GBR,Older than 65
109,2017,10.4295833381423,GBR,Older than 65
110,2018,10.6499624215119,GBR,Older than 65
111,2019,10.9098324036776,GBR,Older than 65
112,2020,10.8071239407544,GBR,Older than 65
113,2021,10.4569998698762,GBR,Older than 65
114,1984,74.8036189855972,GBR,15-64
115,1985,75.2034019043966,GBR,15-64
116,1986,75.6176379535329,GBR,15-64
117,1987,76.0152923357821,GBR,15-64
118,1988,76.7393578273563,GBR,15-64
119,1989,77.6034220427114,GBR,15-64
120,1990,77.8039033383984,GBR,15-64
121,1991,77.3401999394123,GBR,15-64
122,1992,76.4913053048646,GBR,15-64
123,1993,76.1363323514027,GBR,15-64
124,1994,76.0207031357542,GBR,15-64
125,1995,75.7778999450248,GBR,15-64
126,1996,75.9397877765896,GBR,15-64
127,1997,76.3088641841866,GBR,15-64
128,1998,75.8171361179984,GBR,15-64
129,1999,76.2716131670783,GBR,15-64
130,2000,76.437386709414,GBR,15-64
131,2001,76.2687625313556,GBR,15-64
132,2002,76.3825697173032,GBR,15-64
133,2003,76.4215537094994,GBR,15-64
134,2004,76.1224084819118,GBR,15-64
135,2005,76.3050586997714,GBR,15-64
136,2006,76.5591999207879,GBR,15-64
137,2007,76.4159732358661,GBR,15-64
138,2008,76.5302555799982,GBR,15-64
139,2009,76.4953613346172,GBR,15-64
140,2010,75.9919248797676,GBR,15-64
141,2011,76.0369746859026,GBR,15-64
142,2012,76.6299037737847,GBR,15-64
143,2013,77.0955992958696,GBR,15-64
144,2014,77.1778026870684,GBR,15-64
145,2015,77.6280778912485,GBR,15-64
146,2016,77.7058628929224,GBR,15-64
147,2017,78.2133963450951,GBR,15-64
148,2018,78.3223348504436,GBR,15-64
149,2019,78.7715091531218,GBR,15-64
150,2020,78.8379243413072,GBR,15-64
151,2021,78.2452742012113,GBR,15-64
152,1984,62.0365977216257,GBR,Older than 15
153,1985,62.1583176171431,GBR,Older than 15
154,1986,62.3159996205028,GBR,Older than 15
155,1987,62.5231707366361,GBR,Older than 15
156,1988,63.0962093330278,GBR,Older than 15
157,1989,63.8948889422447,GBR,Older than 15
158,1990,64.0127776235005,GBR,Older than 15
159,1991,63.5867507183748,GBR,Older than 15
160,1992,62.9263195339944,GBR,Older than 15
161,1993,62.4558284253806,GBR,Older than 15
162,1994,62.3150739704118,GBR,Older than 15
163,1995,62.127055902824,GBR,Older than 15
164,1996,62.1786511638188,GBR,Older than 15
165,1997,62.5438587651379,GBR,Older than 15
166,1998,62.1686539843846,GBR,Older than 15
167,1999,62.5919877138597,GBR,Older than 15
168,2000,62.7438523816596,GBR,Older than 15
169,2001,62.5507642748922,GBR,Older than 15
170,2002,62.7276228935092,GBR,Older than 15
171,2003,62.8196908494674,GBR,Older than 15
172,2004,62.6459378964996,GBR,Older than 15
173,2005,62.8465777869931,GBR,Older than 15
174,2006,63.2052566413287,GBR,Older than 15
175,2007,63.1396118101412,GBR,Older than 15
176,2008,63.2092699550817,GBR,Older than 15
177,2009,63.1075647965012,GBR,Older than 15
178,2010,62.6537178496723,GBR,Older than 15
179,2011,62.6108620146446,GBR,Older than 15
180,2012,62.7528878753464,GBR,Older than 15
181,2013,62.9956622447448,GBR,Older than 15
182,2014,62.9045790297102,GBR,Older than 15
183,2015,63.1644979849578,GBR,Older than 15
184,2016,63.0970085992137,GBR,Older than 15
185,2017,63.3275004265623,GBR,Older than 15
186,2018,63.2955215767276,GBR,Older than 15
187,2019,63.5340300301119,GBR,Older than 15
188,2020,63.4093888049303,GBR,Older than 15
189,2021,62.6963032792832,GBR,Older than 15
190,1984,74.5701877325756,GBR,25-64
191,1985,74.846143879443,GBR,25-64
192,1986,75.0781634423366,GBR,25-64
193,1987,75.6242952105574,GBR,25-64
194,1988,76.4530473483555,GBR,25-64
195,1989,77.1995439292645,GBR,25-64
196,1990,77.7474068896826,GBR,25-64
197,1991,77.521633783316,GBR,25-64
198,1992,77.4381468028237,GBR,25-64
199,1993,77.3065552044041,GBR,25-64
200,1994,77.3456457266109,GBR,25-64
201,1995,77.1199197190166,GBR,25-64
202,1996,77.0852702882189,GBR,25-64
203,1997,77.3583274962206,GBR,25-64
204,1998,76.9555582456891,GBR,25-64
205,1999,77.6047556081961,GBR,25-64
206,2000,77.8282039033259,GBR,25-64
207,2001,77.7267005466038,GBR,25-64
208,2002,77.9572934507227,GBR,25-64
209,2003,78.2709863676604,GBR,25-64
210,2004,77.9160269210854,GBR,25-64
211,2005,78.2509798057041,GBR,25-64
212,2006,78.6428795861926,GBR,25-64
213,2007,78.6220116370713,GBR,25-64
214,2008,78.907775706141,GBR,25-64
215,2009,79.1556366023885,GBR,25-64
216,2010,79.0629305318004,GBR,25-64
217,2011,79.017640735511,GBR,25-64
218,2012,79.784853193785,GBR,25-64
219,2013,80.4048197570124,GBR,25-64
220,2014,80.7135374443973,GBR,25-64
221,2015,80.9095358409089,GBR,25-64
222,2016,81.1312303416912,GBR,25-64
223,2017,81.71102427493,GBR,25-64
224,2018,81.9132624954638,GBR,25-64
225,2019,82.3377227163111,GBR,25-64
226,2020,82.4890849260783,GBR,25-64
227,2021,82.107251375578,GBR,25-64
